year	population	CIpopulation	arrival	CIarrival
1981	10.9	2.7-35.1	14.3	6.1-22.8
1982	7.9	2.6-21.5	14.1	6.3-21.8
1983	7.2	4.1-12	12.5	3.9-21.2
1984	11.3	8.7-14	17.9	14-22
1985	20.6	15.8-26	18.1	14-22.2
1986	21.7	17.4-26.4	13.8	10.7-16.9
1987	24.1	20.5-28	13.9	10.9-16.6
1988	34.3	28.7-41.6	16	12.9-19.1
1989	48.5	42.2-54.8	14.3	12.2-16.4
1990	62.3	55-70.6	15.3	13-17.7
1991	86.6	80-93.5	15.1	13.9-16.4
1992	129.7	119.2-140.4	13.8	12.4-15.5
1993	181.4	168.5-194.7	12.4	11.1-13.5
1994	246.2	225-267.2	12.1	11-13.1
1995	180.7	170.1-192.9	20.2	19.3-21.1
1996	286.7	272.3-301.1	12.8	11.7-13.9
1997	339.2	325.6-353	14.5	13.8-15.2
1998	288.5	277.8-299.4	10.1	9.5-10.7
1999	343	333.7-353.6	11.7	11.1-12.2
2000	334.2	322.9-345.9	14.9	14.3-15.6
2001	340	327.3-353.2	13.3	12.6-14
2002	344.6	330.7-359.1	11.6	10.9-12.4
2003	343.3	328.2-358.1	12.4	11.7-13.3
2004	492.7	477.5-507.8	12.2	11.6-12.8
2005	397.5	384.2-411.7	12.1	11.4-12.7
2006	438.6	423.5-453.5	13.6	13.1-14.2
2007	421.5	405.6-436.4	13.2	12.5-13.8
2008	302.4	289.8-314.7	13	12.4-13.8
2009	293.7	278.9-308	12.6	11.8-13.4
2010	153.8	145.5-162.7	1.4	0.399999999999999-2.5
2011	268.7	257.1-280.4	9	8.2-9.8
2012	279.6	268.6-290.9	8.5	7.8-9.2
2013	305.5	293.3-317.6	11.2	10.5-11.8
2014	349.7	337.9-362.3	11.4	10.9-12.1
2015	335.5	322.2-349.3	11.1	10.4-11.7
2016	203.6	193.4-214	13.5	12.6-14.5
2017	179.9	169.1-190.6	3.8	2.8-4.9
2018	271.1	258.1-284.2	7	6.2-7.8
2019	148.8	124.9-177.3	17.9	13.8-21.4
