year	population	CIpopulation	arrival	CIarrival
1981	9.1	3.3-20.4	14	10.2-17.8
1982	6.7	3-12.5	13.7	9.8-17.7
1983	6.9	4.5-11	13.5	9.3-17.3
1984	10.9	8.8-13.2	16.1	12.9-19.2
1985	20.4	15.9-25.3	16.2	13.3-19.4
1986	21.6	17.9-25.9	13.9	11.4-16.4
1987	24	20.2-27.7	13.9	11.4-16.2
1988	34.5	28.3-41.5	15.3	12.6-18.1
1989	48.6	42.1-54.6	14.3	12.5-16.1
1990	62.1	55-69.4	15	12.9-17.1
1991	86.5	79.6-93.1	15	13.8-16.3
1992	130	119.6-141.4	13.8	12.5-15.3
1993	181.8	170.2-194.7	12.5	11.3-13.6
1994	246.2	224.7-266.6	12.2	11-13.3
1995	190.2	178.8-201.4	20	19.1-20.9
1996	298.3	282.8-314.3	13.1	12.1-14.2
1997	352.6	338-366.9	14.6	13.9-15.5
1998	345.4	333.6-357.1	12.3	11.7-13
1999	391.2	380.6-402.2	13	12.4-13.5
2000	370.6	358.2-384.1	15.5	14.9-16.1
2001	393	379.2-406.4	13.9	13.3-14.6
2002	399	385.1-414.1	11.8	11.2-12.6
2003	478.9	461.4-496.1	12.6	11.9-13.3
2004	616.7	599.3-634.9	12.6	12.1-13.1
2005	594.3	578.1-611.1	12.9	12.5-13.5
2006	714.4	696.1-735.1	12.5	12-13
2007	745.6	725.5-766.8	13.8	13.4-14.3
2008	640.5	621.9-658.5	13.2	12.7-13.7
2009	616.4	594.3-639.4	12.2	11.6-12.7
2010	721	701.7-740.5	11.1	10.6-11.6
2011	773.9	752.8-794.3	10.8	10.3-11.4
2012	871.2	851.1-891.6	11	10.7-11.4
2013	896.9	876.5-918.1	12.4	12-12.8
2014	950.9	930.1-971.4	12.7	12.3-13.1
2015	1049.2	1026.5-1072.7	13	12.7-13.5
2016	1086.1	1061.6-1109.7	14.4	14.1-14.8
2017	1277.8	1243.1-1311.3	14.6	14-15.1
2018	1385.6	1357.4-1415.3	12.5	12.1-12.8
2019	1482.6	1371.9-1608.9	12.5	10.9-13.8
