year	population	CIpopulation	arrival	CIarrival
1995	3.8	1.2-8.3	15.5	8.6-22.4
1996	5.2	1.6-12.1	18	12.1-24.1
1997	2.5	0.9-5.3	13.8	7.1-20.3
1998	9.5	7.5-11.6	23	19.6-26.7
1999	6.8	5.5-8.4	19.1	15.7-22.3
2000	7.3	5.7-9	21.2	17.7-24.7
2001	11.8	9.4-14.6	15	11.6-18.1
2002	11.4	9-14.1	15.1	12.1-18.2
2003	25.6	21.7-29.7	12.2	10.2-14.2
2004	21.4	18.4-24.5	13.4	11.4-15.4
2005	27.1	23.2-31	16.8	14.9-18.8
2006	32.1	28-36.6	12.1	10.2-14.2
2007	24.8	21.6-28.2	16.4	14.3-18.6
2008	26.3	22.5-30.6	15.1	12.7-17.2
2009	19.3	15.2-24	14	10.3-18.1
2010	53.9	48.7-59.5	14.5	13.3-15.7
2011	33.3	29.3-37.9	14.6	12.7-16.2
2012	38.6	34.4-42.6	15	13.4-16.5
2013	27.4	24-31	13.7	12-15.5
2014	27.3	24-30.7	15.3	13.7-16.9
2015	29.9	26.2-33.8	16.6	14.8-18.4
2016	52.4	47.5-57.2	15.1	13.9-16.4
2017	64	56.9-71.8	18.4	16.9-19.9
2018	55.3	49.7-61.1	15.7	14.1-17.3
2019	69.6	55-88.7	13.7	9.8-16.8
