"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1981/01/01","00:00","1.466","0.315","-0.476","-2.454","-2.425","-4.373","-5.725","-6.774","0"
"1981/02/01","00:00","0.466","-0.095","-0.735","-2.756","-2.733","-4.724","-5.774","-7.034","0"
"1981/03/01","00:00","0.516","-0.413","-0.896","-2.854","-2.825","-4.744","-5.696","-6.584","0"
"1981/04/01","00:00","0.146","-0.784","-1.145","-3.153","-3.104","-5.075","-6.086","-7.084","0"
"1981/05/01","00:00","0.986","-0.354","-0.994","-3.045","-2.995","-4.993","-6.115","-7.734","0"
"1981/06/01","00:00","1.385","-0.213","-1.004","-3.045","-3.005","-5.003","-6.365","-7.794","0"
"1981/07/01","00:00","1.365","0.144","-0.666","-2.743","-2.703","-4.734","-6.086","-7.474","0"
"1981/08/01","00:00","0.586","-0.125","-0.774","-2.776","-2.766","-4.754","-5.843","-6.994","0"
"1981/09/01","00:00","0.296","-0.325","-0.764","-2.743","-2.713","-4.675","-5.495","-6.304","0"
"1981/10/01","00:00","0.666","-0.305","-0.676","-2.674","-2.635","-4.583","-5.554","-6.644","0"
"1981/11/01","00:00","1.906","0.016","-0.545","-2.605","-2.556","-4.564","-5.823","-7.365","0"
"1981/12/01","00:00","1.746","0.036","-0.696","-2.713","-2.664","-4.626","-6.125","-7.695","0"
"1982/01/01","00:00","1.686","0.197","-0.643","-2.615","-2.625","-4.603","-5.876","-7.484","0"
"1982/02/01","00:00","1.176","0.046","-0.666","-2.694","-2.674","-4.685","-5.784","-7.244","0"
"1982/03/01","00:00","1.095","0.075","-0.476","-2.444","-2.415","-4.364","-5.344","-6.494","0"
"1982/04/01","00:00","0.785","-0.404","-0.804","-2.825","-2.795","-4.774","-5.886","-6.994","0"
"1982/05/01","00:00","1.466","-0.256","-0.794","-2.805","-2.776","-4.754","-5.965","-7.195","0"
"1982/06/01","00:00","1.516","0.007","-0.745","-2.743","-2.694","-4.656","-5.955","-7.494","0"
"1982/07/01","00:00","1.466","0.026","-0.784","-2.743","-2.723","-4.665","-5.974","-7.734","0"
"1982/08/01","00:00","1.066","0.007","-0.676","-2.615","-2.585","-4.505","-5.676","-7.204","0"
"1982/09/01","00:00","1.156","0.066","-0.404","-2.365","-2.336","-4.265","-5.213","-6.144","0"
"1982/10/01","00:00","0.586","-0.095","-0.443","-2.425","-2.395","-4.344","-5.295","-6.124","0"
"1982/11/01","00:00","1.845","0.584","-0.003","-2.014","-1.965","-3.924","-5.213","-6.534","0"
"1982/12/01","00:00","1.986","0.584","-0.213","-2.313","-2.244","-4.285","-5.804","-7.465","0"
"1983/01/01","00:00","2.677","0.846","0.036","-2.014","-1.975","-3.983","-5.404","-7.224","0"
"1983/02/01","00:00","2.106","0.676","-0.066","-2.024","-2.014","-3.953","-5.066","-6.526","0"
"1983/03/01","00:00","1.916","0.305","-0.194","-2.215","-2.175","-4.144","-5.075","-6.716","0"
"1983/04/01","00:00","1.175","-0.066","-0.545","-2.484","-2.454","-4.364","-5.476","-6.096","0"
"1983/05/01","00:00","0.827","-0.105","-0.745","-2.703","-2.644","-4.544","-5.876","-7.365","0"
"1983/06/01","00:00","1.184","0.207","-0.545","-2.533","-2.474","-4.403","-5.843","-7.365","0"
"1983/07/01","00:00","1.555","0.285","-0.495","-2.464","-2.434","-4.364","-5.676","-7.556","0"
"1983/08/01","00:00","1.867","0.446","-0.315","-2.244","-2.224","-4.134","-5.233","-6.916","0"
"1983/09/01","00:00","1.706","0.545","-0.033","-2.005","-1.955","-3.875","-4.954","-6.296","0"
"1983/10/01","00:00","1.194","0.164","-0.266","-2.264","-2.215","-4.173","-5.266","-5.984","0"
"1983/11/01","00:00","1.296","0.387","-0.243","-2.283","-2.224","-4.206","-5.443","-6.873","0"
"1983/12/01","00:00","2.697","0.584","-0.325","-2.375","-2.323","-4.324","-5.823","-7.523","0"
"1984/01/01","00:00","1.296","0.266","-0.594","-2.615","-2.556","-4.514","-5.984","-7.544","0"
"1984/02/01","00:00","1.106","-0.085","-0.823","-2.776","-2.743","-4.675","-5.863","-7.635","0"
"1984/03/01","00:00","0.776","-0.404","-0.896","-2.864","-2.825","-4.744","-5.725","-6.744","0"
"1984/04/01","00:00","0.496","-0.725","-1.224","-3.196","-3.143","-5.066","-6.125","-7.014","0"
"1984/05/01","00:00","0.595","-0.413","-1.115","-3.104","-3.045","-4.964","-6.335","-7.734","0"
"1984/06/01","00:00","0.936","0.016","-0.814","-2.825","-2.766","-4.705","-6.204","-7.454","0"
"1984/07/01","00:00","1.115","0.387","-0.456","-2.474","-2.425","-4.393","-5.823","-7.215","0"
"1984/08/01","00:00","1.236","0.226","-0.476","-2.484","-2.454","-4.436","-5.525","-6.734","0"
"1984/09/01","00:00","0.996","0.256","-0.325","-2.293","-2.264","-4.206","-5.243","-6.115","0"
"1984/10/01","00:00","1.115","-0.315","-0.755","-2.713","-2.664","-4.573","-5.764","-7.004","0"
"1984/11/01","00:00","1.526","0.105","-0.495","-2.474","-2.415","-4.334","-5.696","-7.454","0"
"1984/12/01","00:00","1.256","0.187","-0.614","-2.546","-2.493","-4.373","-5.784","-7.514","0"
"1985/01/01","00:00","1.296","0.164","-0.725","-2.644","-2.615","-4.505","-5.876","-6.934","0"
"1985/02/01","00:00","0.546","-0.213","-0.955","-2.933","-2.884","-4.803","-6.115","-7.465","0"
"1985/03/01","00:00","0.595","-0.604","-1.155","-3.094","-3.074","-4.984","-6.096","-7.164","0"
"1985/04/01","00:00","0.746","-0.554","-1.014","-3.015","-2.943","-4.885","-6.106","-6.865","0"
"1985/05/01","00:00","0.896","-0.394","-1.073","-3.104","-3.045","-5.003","-6.325","-7.664","0"
"1985/06/01","00:00","1.096","0.115","-0.745","-2.756","-2.703","-4.656","-6.184","-8.064","0"
"1985/07/01","00:00","1.227","0.226","-0.666","-2.674","-2.615","-4.564","-6.086","-7.635","0"
"1985/08/01","00:00","0.866","-0.033","-0.745","-2.713","-2.674","-4.603","-5.886","-6.985","0"
"1985/09/01","00:00","0.945","0.007","-0.505","-2.434","-2.405","-4.314","-5.315","-6.335","0"
"1985/10/01","00:00","1.155","-0.233","-0.735","-2.674","-2.635","-4.534","-5.705","-6.716","0"
"1985/11/01","00:00","1.457","-0.056","-0.725","-2.694","-2.625","-4.524","-5.994","-7.684","0"
"1985/12/01","00:00","1.306","0.105","-0.705","-2.674","-2.595","-4.495","-6.096","-8.054","0"
"1986/01/01","00:00","1.184","0.256","-0.594","-2.556","-2.513","-4.426","-5.843","-7.904","0"
"1986/02/01","00:00","1.115","0.387","-0.374","-2.356","-2.313","-4.255","-5.535","-7.385","0"
"1986/03/01","00:00","1.066","0.026","-0.584","-2.575","-2.533","-4.495","-5.623","-6.575","0"
"1986/04/01","00:00","0.827","-0.374","-0.906","-2.995","-2.923","-4.944","-6.214","-7.625","0"
"1986/05/01","00:00","1.257","-0.344","-0.984","-2.943","-2.904","-4.823","-6.224","-7.854","0"
"1986/06/01","00:00","1.427","-0.125","-0.965","-2.933","-2.864","-4.774","-6.224","-7.986","0"
"1986/07/01","00:00","1.506","0.177","-0.705","-2.625","-2.575","-4.446","-5.886","-7.674","0"
"1986/08/01","00:00","NaN","0.105","-0.666","-2.585","-2.556","-4.455","-5.705","NaN","11"
"1986/09/01","00:00","0.427","-0.056","-0.594","-2.533","-2.493","-4.383","-5.495","-6.545","0"
"1986/10/01","00:00","0.774","-0.144","-0.594","-2.566","-2.503","-4.416","-5.505","-6.296","0"
"1986/11/01","00:00","1.247","0.016","-0.686","-2.684","-2.615","-4.534","-5.945","-7.146","0"
"1986/12/01","00:00","1.745","0.476","-0.404","-2.464","-2.395","-4.373","-6.014","-7.844","0"
"1987/01/01","00:00","1.647","0.226","-0.676","-2.703","-2.654","-4.636","-6.194","-7.776","0"
"1987/02/01","00:00","1.096","0.164","-0.584","-2.556","-2.503","-4.426","-5.643","-7.093","0"
"1987/03/01","00:00","0.676","-0.213","-0.764","-2.756","-2.713","-4.656","-5.676","-6.995","0"
"1987/04/01","00:00","0.495","-0.515","-1.073","-3.025","-2.966","-4.856","-6.125","-7.014","0"
"1987/05/01","00:00","1.266","-0.075","-0.784","-2.723","-2.654","-4.514","-6.004","-7.073","0"
"1987/06/01","00:00","1.296","-0.013","-0.863","-2.825","-2.756","-4.646","-6.214","-7.815","0"
"1987/07/01","00:00","1.886","0.187","-0.666","-2.615","-2.566","-4.455","-5.853","-7.493","0"
"1987/08/01","00:00","1.575","0.285","-0.525","-2.444","-2.425","-4.324","-5.486","-7.175","0"
"1987/09/01","00:00","1.037","0.056","-0.564","-2.513","-2.474","-4.383","-5.554","-6.736","0"
"1987/10/01","00:00","0.856","-0.023","-0.535","-2.493","-2.434","-4.334","-5.633","-6.624","0"
"1987/11/01","00:00","1.125","0.105","-0.584","-2.595","-2.533","-4.495","-5.823","-7.303","0"
"1987/12/01","00:00","1.516","0.295","-0.614","-2.615","-2.546","-4.485","-6.063","-8.094","0"
"1988/01/01","00:00","1.995","0.115","-0.814","-2.795","-2.743","-4.665","-6.194","-8.455","0"
"1988/02/01","00:00","0.886","-0.135","-0.906","-2.864","-2.815","-4.734","-5.965","-7.575","0"
"1988/03/01","00:00","0.427","-0.614","-1.165","-3.114","-3.064","-4.954","-6.024","-6.946","0"
"1988/04/01","00:00","0.607","-0.433","-1.014","-2.966","-2.913","-4.803","-5.955","-7.185","0"
"1988/05/01","00:00","0.607","-0.384","-1.184","-3.166","-3.094","-4.993","-6.453","-7.513","0"
"1988/06/01","00:00","0.974","-0.095","-1.004","-2.995","-2.923","-4.836","-6.404","-7.733","0"
"1988/07/01","00:00","1.335","0.217","-0.686","-2.713","-2.664","-4.646","-6.106","-7.533","0"
"1988/08/01","00:00","1.086","0.164","-0.554","-2.575","-2.533","-4.524","-5.633","-6.946","0"
"1988/09/01","00:00","0.564","-0.115","-0.735","-2.703","-2.664","-4.593","-5.696","-6.663","0"
"1988/10/01","00:00","1.096","-0.335","-0.833","-2.795","-2.733","-4.626","-5.915","-7.126","0"
"1988/11/01","00:00","1.286","-0.256","-0.935","-2.904","-2.825","-4.724","-6.165","-7.405","0"
"1988/12/01","00:00","1.306","-0.194","-1.063","-3.005","-2.933","-4.803","-6.296","-7.595","0"
"1989/01/01","00:00","0.505","-0.374","-1.306","-3.225","-3.186","-5.066","-6.463","-8.133","0"
"1989/02/01","00:00","0.554","-0.315","-1.096","-3.084","-3.064","-5.023","-6.224","-7.733","0"
"1989/03/01","00:00","0.915","-0.364","-0.984","-2.933","-2.894","-4.803","-5.965","-7.113","0"
"1989/04/01","00:00","1.007","-0.413","-0.955","-2.943","-2.874","-4.803","-6.086","-6.995","0"
"1989/05/01","00:00","1.007","-0.266","-1.033","-3.035","-2.986","-4.925","-6.283","-7.484","0"
"1989/06/01","00:00","1.286","0.085","-0.833","-2.825","-2.785","-4.724","-6.263","-7.615","0"
"1989/07/01","00:00","0.846","0.095","-0.814","-2.815","-2.766","-4.715","-6.214","-7.605","0"
"1989/08/01","00:00","0.994","0.026","-0.686","-2.644","-2.615","-4.534","-5.715","-7.014","0"
"1989/09/01","00:00","1.096","-0.056","-0.594","-2.533","-2.503","-4.403","-5.374","-6.175","0"
"1989/10/01","00:00","1.165","-0.115","-0.676","-2.625","-2.566","-4.455","-5.653","-7.136","0"
"1989/11/01","00:00","1.404","0.046","-0.696","-2.664","-2.605","-4.514","-5.984","-7.703","0"
"1989/12/01","00:00","1.476","0.144","-0.705","-2.684","-2.625","-4.544","-6.135","-7.713","0"
"1990/01/01","00:00","1.496","0.095","-0.745","-2.785","-2.756","-4.764","-6.125","-7.605","0"
"1990/02/01","00:00","0.646","-0.266","-1.033","-3.025","-2.995","-4.964","-6.063","-8.064","0"
"1990/03/01","00:00","0.745","-0.443","-1.096","-3.074","-3.025","-4.954","-6.073","-6.755","0"
"1990/04/01","00:00","0.925","-0.325","-0.906","-2.894","-2.835","-4.764","-6.033","-7.756","0"
"1990/05/01","00:00","1.076","-0.266","-0.935","-2.933","-2.874","-4.813","-6.214","-8.084","0"
"1990/06/01","00:00","1.667","-0.095","-0.945","-2.913","-2.874","-4.803","-6.184","-7.756","0"
"1990/07/01","00:00","NaN","0.144","-0.735","-2.674","-2.644","-4.554","-5.876","NaN","11"
"1990/08/01","00:00","0.925","0.115","-0.614","-2.585","-2.546","-4.465","-5.633","-6.854","0"
"1990/09/01","00:00","0.515","-0.003","-0.554","-2.484","-2.444","-4.344","-5.384","-6.175","0"
"1990/10/01","00:00","1.365","-0.046","-0.545","-2.546","-2.493","-4.446","-5.495","-6.493","0"
"1990/11/01","00:00","1.257","0.046","-0.686","-2.713","-2.654","-4.626","-6.024","-7.484","0"
"1990/12/01","00:00","1.345","0.256","-0.633","-2.713","-2.664","-4.685","-6.273","-8.196","0"
"1991/01/01","00:00","1.437","0.276","-0.604","-2.694","-2.644","-4.695","-6.106","-7.776","0"
